date,open,high,low,close,volume
2024-06-10,902.4,912.1,876.5,881.3,805018
2024-06-11,879.2,892.6,872.8,873.8,987505
2024-06-12,876.8,900.8,867.5,886.1,923800
2024-06-13,890.8,945.2,887.7,930.9,873960
2024-06-14,931.9,937.2,931.3,933.8,601733
2024-06-17,935.4,946.0,932.7,935.2,1019153
2024-06-18,934.0,948.9,912.5,912.5,772691
2024-06-19,935.0,954.3,903.1,903.6,932998
2024-06-20,907.9,908.8,896.5,900.1,970424
2024-06-21,907.5,926.1,860.3,875.9,1022278
2024-06-24,875.9,896.9,870.2,887.8,1107429
2024-06-25,889.3,900.8,871.9,884.0,652656
2024-06-26,887.0,913.3,883.4,897.4,555514
2024-06-27,900.3,916.5,892.3,898.7,593714
2024-06-28,896.1,901.8,869.0,883.4,563818
2024-07-01,881.0,886.7,876.6,879.7,652668
2024-07-02,877.6,915.7,859.0,908.9,614854
2024-07-03,916.8,919.7,881.4,884.8,1113153
2024-07-04,889.6,890.8,880.3,888.8,669647
2024-07-05,890.0,902.4,886.5,896.2,864821
2024-07-08,901.3,912.1,882.3,885.1,847725
2024-07-09,882.0,904.9,864.9,893.0,1003393
2024-07-10,897.1,898.7,871.3,894.2,605817
2024-07-11,890.1,935.3,884.0,927.0,546457
2024-07-12,931.1,970.9,915.5,969.7,644468
2024-07-15,961.3,983.3,955.1,981.5,941026
2024-07-16,983.6,1013.9,976.1,994.3,873153
2024-07-17,1010.0,1010.6,986.2,988.1,652284
2024-07-18,988.9,993.5,974.3,983.4,846188
2024-07-19,988.4,1019.5,969.4,996.1,900436
2024-07-22,987.2,990.6,985.0,988.8,491452
2024-07-23,982.9,1015.7,982.4,1013.5,887158
2024-07-24,1014.8,1032.4,948.4,985.4,528168
2024-07-25,982.1,996.2,949.0,958.9,930361
2024-07-26,944.2,980.0,931.7,970.5,1056535
2024-07-29,965.2,989.6,945.1,984.2,846596
2024-07-30,979.3,991.9,966.1,973.2,531329
2024-07-31,956.2,968.3,927.8,939.0,728599
2024-08-01,930.1,956.1,923.1,938.1,533620
2024-08-02,936.5,948.7,929.6,939.3,627341
2024-08-05,931.8,951.3,916.9,934.2,643731
2024-08-06,934.6,952.7,928.5,949.6,588548
2024-08-07,944.0,992.4,936.4,971.7,689254
2024-08-08,967.7,984.9,959.2,967.1,1065101
2024-08-09,962.4,988.9,957.9,980.9,567152
2024-08-12,981.2,990.9,935.4,948.5,1088000
2024-08-13,952.6,960.5,945.5,948.0,617011
2024-08-14,953.0,961.9,928.4,928.7,1017035
2024-08-15,927.9,950.5,926.8,948.2,1038610
2024-08-16,950.9,983.5,947.2,975.3,986568
2024-08-19,975.8,988.3,975.1,986.0,1010987
2024-08-20,989.9,1004.3,983.7,988.1,765747
2024-08-21,980.5,989.9,946.8,971.6,918075
2024-08-22,979.1,979.8,977.6,979.1,782207
2024-08-23,974.7,979.2,965.1,977.9,926279
2024-08-26,976.6,977.0,944.7,955.0,986836
2024-08-27,953.4,977.5,946.6,962.4,563142
2024-08-28,965.2,973.7,935.1,940.4,844040
2024-08-29,932.1,974.4,928.2,963.5,896846
2024-08-30,974.2,980.5,958.9,972.5,939303
2024-09-02,987.2,1016.3,978.8,982.4,823652
2024-09-03,976.4,1005.3,965.3,987.6,703044
2024-09-04,991.4,1023.2,985.7,1005.5,791966
