date,open,high,low,close,volume
2024-06-10,2008.7,2016.5,1955.3,1964.2,390063
2024-06-11,1965.4,1988.5,1964.8,1977.5,505485
2024-06-12,1976.2,2038.1,1962.8,2023.8,576523
2024-06-13,2028.3,2043.0,1993.3,2015.8,344803
2024-06-14,2018.2,2035.6,2015.9,2026.6,550126
2024-06-17,2025.9,2049.6,2011.4,2032.9,666755
2024-06-18,2042.2,2042.3,2033.9,2040.1,569486
2024-06-19,2027.3,2082.3,2020.1,2052.1,594818
2024-06-20,2042.4,2055.8,2009.0,2033.1,535989
2024-06-21,2030.7,2064.0,1998.5,2007.9,573502
2024-06-24,2027.5,2030.6,1967.2,1972.0,362907
2024-06-25,1974.1,1974.7,1943.5,1970.7,517280
2024-06-26,1970.3,2001.1,1961.6,1998.2,436052
2024-06-27,1983.3,2038.2,1975.9,2018.9,319192
2024-06-28,2014.3,2026.2,1980.0,2004.9,634221
2024-07-01,1997.6,2006.9,1971.1,1983.1,302695
2024-07-02,2002.3,2011.1,1964.9,1973.7,636249
2024-07-03,1964.8,1998.4,1961.2,1983.9,325950
2024-07-04,1982.0,2001.4,1904.9,1918.4,495060
2024-07-05,1928.6,1947.7,1897.6,1910.8,677142
2024-07-08,1914.9,1955.0,1905.6,1929.6,329744
2024-07-09,1936.0,1942.7,1881.7,1885.7,660917
2024-07-10,1876.0,1919.9,1869.0,1886.8,397252
2024-07-11,1872.0,1885.9,1865.7,1873.0,464976
2024-07-12,1895.2,1917.0,1881.9,1917.0,538870
2024-07-15,1915.1,1925.0,1869.5,1888.4,663701
2024-07-16,1901.1,1971.1,1890.6,1944.9,621072
2024-07-17,1966.4,1967.8,1856.4,1883.9,479594
2024-07-18,1902.1,1902.2,1888.4,1890.3,424494
2024-07-19,1888.4,1896.5,1859.4,1867.8,306258
2024-07-22,1876.0,1913.3,1875.8,1887.4,423251
2024-07-23,1907.0,1951.3,1886.7,1932.4,575620
2024-07-24,1947.3,1958.7,1887.9,1912.2,627142
2024-07-25,1914.4,1966.8,1912.2,1964.3,330108
2024-07-26,1954.8,1964.6,1899.9,1904.8,471597
2024-07-29,1895.7,1968.7,1883.5,1962.2,409863
2024-07-30,1970.1,2002.5,1951.0,1974.6,563986
2024-07-31,1981.6,2019.8,1969.3,1981.7,488943
2024-08-01,1962.9,2007.4,1947.6,1991.3,451168
2024-08-02,1997.3,1999.6,1921.8,1933.8,634731
2024-08-05,1936.0,1938.5,1883.0,1887.7,390011
2024-08-06,1889.0,1895.3,1835.8,1878.5,474835
2024-08-07,1879.2,1934.2,1868.6,1930.6,555178
2024-08-08,1921.2,1930.4,1878.1,1914.5,435866
2024-08-09,1914.5,1927.3,1900.9,1909.2,560958
2024-08-12,1898.0,1930.3,1860.2,1908.5,367610
2024-08-13,1895.2,1923.4,1892.7,1916.6,453216
2024-08-14,1924.7,1944.5,1910.2,1927.0,443143
2024-08-15,1926.0,1966.2,1922.4,1934.7,523126
2024-08-16,1922.1,1966.4,1916.4,1950.6,391572
2024-08-19,1940.3,1979.8,1939.8,1977.1,306307
2024-08-20,1959.2,1994.8,1937.4,1969.2,610418
2024-08-21,1957.0,1983.5,1927.4,1938.9,455506
2024-08-22,1931.5,1994.0,1894.1,1973.9,693315
2024-08-23,1972.7,2014.6,1950.0,1956.6,383094
2024-08-26,1966.7,1970.5,1919.5,1953.6,514278
2024-08-27,1961.3,1985.1,1957.2,1983.6,378494
2024-08-28,1985.3,2032.9,1983.5,2030.2,398796
2024-08-29,2046.0,2064.4,2033.8,2042.9,431784
2024-08-30,2045.7,2085.3,2027.5,2068.8,535164
2024-09-02,2072.1,2074.6,2040.5,2071.8,563279
2024-09-03,2069.2,2099.0,2052.9,2097.1,539607
2024-09-04,2088.9,2170.9,2049.7,2125.6,495966
2024-09-05,2159.3,2167.8,2112.9,2129.1,409934
2024-09-06,2129.9,2167.1,2126.5,2141.1,611332
2024-09-09,2167.3,2178.8,2102.3,2142.7,494072
2024-09-10,2133.9,2207.2,2098.6,2178.9,420512
2024-09-11,2170.8,2236.4,2156.0,2215.6,448982
2024-09-12,2217.6,2262.5,2194.3,2222.7,439390
2024-09-13,2224.8,2276.2,2202.1,2255.9,665585
2024-09-16,2284.8,2297.7,2199.6,2200.5,496189
2024-09-17,2188.9,2194.6,2150.3,2175.9,300019
2024-09-18,2188.6,2189.3,2122.0,2135.1,557401
2024-09-19,2145.2,2162.0,2029.3,2034.3,313047
2024-09-20,2046.7,2065.8,2037.1,2047.2,334362
2024-09-23,2060.0,2060.3,2025.0,2034.7,553538
2024-09-24,2050.1,2055.5,1980.3,1991.6,582290
2024-09-25,2009.2,2025.8,1946.2,1948.3,506984
2024-09-26,1960.2,1972.5,1931.3,1937.7,643747
2024-09-27,1956.3,1964.6,1923.2,1925.3,650664
2024-09-30,1937.3,1969.8,1908.5,1938.4,424135
2024-10-01,1935.4,1939.9,1848.2,1853.9,577834
2024-10-02,1855.7,1866.8,1853.1,1866.7,437238
2024-10-03,1876.3,1934.1,1876.0,1929.5,599530
2024-10-04,1954.9,1964.2,1930.0,1932.1,448513
2024-10-07,1906.4,1974.6,1903.6,1962.1,448905
2024-10-08,1943.8,2002.0,1941.0,1994.7,315250
2024-10-09,2008.9,2016.4,1924.4,1942.3,573026
2024-10-10,1950.4,1957.8,1855.5,1884.9,360860
2024-10-11,1879.3,1886.7,1848.7,1860.7,312611
2024-10-14,1870.6,1908.9,1847.9,1895.4,472923
2024-10-15,1883.9,1901.8,1846.0,1847.7,599078
2024-10-16,1826.6,1873.4,1815.5,1867.2,624806
2024-10-17,1859.9,1860.3,1807.6,1819.5,328619
2024-10-18,1802.6,1831.1,1802.0,1825.8,469051
2024-10-21,1820.9,1826.3,1800.1,1815.2,559268
2024-10-22,1823.6,1839.5,1789.0,1810.2,549119
2024-10-23,1812.6,1828.0,1801.0,1821.1,671348
2024-10-24,1818.0,1877.1,1811.8,1871.6,631382
2024-10-25,1873.2,1884.9,1854.0,1862.9,399237
2024-10-28,1867.3,1921.1,1862.0,1907.0,579303
2024-10-29,1885.4,1905.7,1874.4,1904.8,548105
2024-10-30,1886.0,1920.9,1867.3,1919.8,586841
2024-10-31,1910.6,1974.9,1883.5,1953.4,314070
2024-11-01,1954.1,2012.7,1918.6,1977.5,594404
2024-11-04,1984.1,2019.3,1917.3,1937.4,547127
2024-11-05,1959.4,1967.1,1870.9,1887.9,684504
2024-11-06,1896.6,1964.2,1890.3,1943.6,651869
2024-11-07,1949.8,1952.0,1884.4,1912.1,586858
2024-11-08,1905.8,1920.6,1886.3,1901.5,345498
2024-11-11,1907.6,1921.3,1886.4,1903.6,600763
2024-11-12,1872.9,1900.5,1871.0,1875.5,642698
2024-11-13,1867.9,1916.7,1848.5,1904.0,602294
2024-11-14,1879.1,1932.7,1878.7,1925.1,324538
2024-11-15,1908.9,1918.3,1899.5,1911.8,626957
2024-11-18,1911.1,1968.7,1896.0,1944.7,331652
2024-11-19,1922.8,1988.0,1895.4,1958.3,450784
2024-11-20,1949.0,1969.4,1940.0,1967.9,435536
2024-11-21,1983.9,1988.0,1905.7,1913.3,484149
2024-11-22,1885.0,1970.1,1882.3,1959.3,613995
2024-11-25,1975.1,1977.9,1965.6,1972.1,308903
2024-11-26,1974.1,1994.4,1937.8,1961.6,592148
2024-11-27,1961.6,1972.6,1903.5,1915.4,540722
2024-11-28,1931.5,1953.0,1931.2,1936.3,574970
2024-11-29,1977.1,2016.4,1971.7,2002.9,465144
2024-12-02,1987.0,2027.9,1973.2,2004.0,329385
2024-12-03,2031.9,2034.0,1960.5,1960.7,395388
2024-12-04,1968.4,1969.0,1940.8,1955.7,567774
2024-12-05,1947.7,1948.4,1892.4,1893.4,556467
2024-12-06,1892.1,1902.4,1882.4,1883.9,698397
2024-12-09,1875.9,1892.5,1813.2,1830.9,641928
2024-12-10,1832.7,1864.2,1819.5,1855.5,661026
2024-12-11,1873.6,1894.9,1835.0,1839.7,644398
2024-12-12,1831.6,1929.3,1812.8,1917.8,356122
2024-12-13,1901.2,1946.0,1899.1,1923.8,446644
2024-12-16,1936.7,1939.4,1924.8,1931.9,399216
2024-12-17,1952.3,1990.8,1914.1,1916.4,459055
2024-12-18,1925.3,1946.7,1921.3,1925.5,483446
2024-12-19,1935.9,1949.8,1878.4,1887.1,575826
2024-12-20,1902.1,1935.0,1884.0,1909.3,637118
2024-12-23,1909.8,1911.1,1891.4,1893.1,327642
2024-12-24,1913.8,1933.9,1886.0,1906.6,500778
2024-12-25,1905.6,1923.6,1893.1,1900.9,331846
2024-12-26,1891.6,1917.3,1836.7,1841.6,336559
2024-12-27,1850.7,1876.2,1844.8,1852.3,302055
2024-12-30,1856.2,1893.4,1757.9,1806.7,537464
2024-12-31,1788.3,1820.8,1781.5,1805.1,542612
2025-01-01,1794.6,1835.4,1792.5,1795.2,409870
2025-01-02,1777.1,1924.6,1765.5,1886.9,438486
2025-01-03,1871.1,1923.6,1839.5,1918.9,339075
2025-01-06,1909.5,1971.1,1906.9,1950.4,581761
2025-01-07,1960.0,1989.3,1934.6,1941.8,686318
2025-01-08,1944.0,1955.0,1924.1,1930.1,596632
2025-01-09,1943.2,1961.0,1895.8,1917.2,316296
2025-01-10,1909.4,1960.8,1904.7,1957.8,655549
2025-01-13,1972.6,1979.5,1920.7,1950.7,472149
2025-01-14,1926.5,1940.3,1905.9,1917.2,592032
2025-01-15,1896.0,1967.6,1879.2,1945.5,528457
2025-01-16,1939.5,1965.2,1934.3,1954.9,426700
2025-01-17,1937.7,1949.1,1932.1,1947.9,459417
2025-01-20,1946.9,1974.6,1936.9,1958.7,544072
2025-01-21,1982.3,1991.7,1883.1,1908.8,501582
2025-01-22,1904.3,1931.7,1859.2,1887.4,328860
2025-01-23,1890.4,1944.0,1841.3,1850.9,531867
2025-01-24,1852.2,1862.4,1801.9,1836.7,549649
2025-01-27,1810.2,1864.5,1787.9,1835.2,690908
2025-01-28,1826.5,1877.7,1826.0,1872.6,675305
2025-01-29,1874.1,1893.5,1822.5,1845.2,608115
2025-01-30,1852.0,1859.6,1833.6,1838.7,542663
2025-01-31,1829.2,1880.8,1795.9,1855.0,370395
2025-02-03,1868.2,1875.5,1852.1,1867.2,347399
2025-02-04,1890.3,1903.8,1843.5,1845.6,578301
2025-02-05,1824.1,1861.3,1823.7,1856.9,333795
2025-02-06,1853.7,1865.3,1829.9,1836.5,479937
2025-02-07,1855.5,1878.7,1841.5,1876.3,420391
2025-02-10,1881.1,1883.6,1870.5,1877.9,420542
2025-02-11,1880.2,1954.4,1879.1,1913.4,311243
2025-02-12,1911.5,1952.6,1879.7,1926.5,645971
2025-02-13,1922.2,1950.6,1908.3,1940.4,433174
2025-02-14,1938.3,1939.7,1930.0,1930.7,428815
2025-02-17,1927.7,1933.8,1875.7,1905.7,548741
2025-02-18,1909.6,1944.4,1871.0,1873.8,699990
2025-02-19,1896.9,1897.4,1861.0,1883.5,478384
2025-02-20,1850.4,1894.9,1850.0,1890.7,540142
2025-02-21,1896.3,1909.0,1886.4,1893.5,610646
2025-02-24,1907.4,1949.9,1825.1,1842.0,574401
2025-02-25,1844.4,1892.4,1830.9,1862.8,324053
2025-02-26,1850.6,1898.8,1837.9,1869.2,364297
2025-02-27,1861.9,1887.3,1817.8,1849.6,671932
2025-02-28,1853.8,1862.4,1848.4,1852.1,390320
2025-03-03,1846.5,1905.8,1773.9,1802.4,599397
2025-03-04,1799.4,1869.2,1766.4,1839.9,535382
2025-03-05,1835.2,1836.5,1825.4,1826.3,352308
2025-03-06,1837.3,1841.6,1802.6,1819.5,448674
2025-03-07,1825.0,1853.5,1740.8,1781.5,390720
2025-03-10,1788.8,1799.2,1744.0,1755.9,376210
2025-03-11,1750.9,1777.1,1726.8,1775.7,314136
2025-03-12,1789.8,1792.8,1724.7,1770.8,381741
2025-03-13,1778.7,1824.5,1774.7,1817.6,459116
2025-03-14,1827.1,1836.9,1802.4,1817.8,466394
2025-03-17,1827.0,1844.2,1806.3,1816.0,498757
2025-03-18,1827.2,1837.7,1816.5,1831.5,362085
2025-03-19,1834.4,1835.9,1799.5,1813.1,679388
2025-03-20,1802.6,1818.3,1784.5,1794.8,545386
2025-03-21,1787.0,1812.4,1728.8,1778.3,610416
2025-03-24,1774.8,1779.0,1725.1,1734.9,618233
2025-03-25,1747.2,1762.7,1701.4,1718.5,504731
2025-03-26,1716.4,1717.6,1680.6,1694.2,596862
2025-03-27,1678.6,1704.8,1671.9,1699.0,674724
2025-03-28,1706.9,1736.1,1622.7,1634.5,445247
2025-03-31,1639.6,1643.6,1595.8,1615.0,419674
2025-04-01,1615.8,1679.9,1615.4,1664.9,406143
2025-04-02,1658.0,1668.4,1629.4,1658.4,505029
2025-04-03,1650.5,1667.0,1625.9,1630.0,354745
2025-04-04,1636.9,1676.7,1622.5,1658.1,558109
2025-04-07,1648.4,1682.6,1641.0,1670.6,493633
2025-04-08,1651.1,1656.3,1616.9,1646.5,655705
