date,open,high,low,close,volume
2024-06-10,2799.0,2847.8,2793.6,2811.4,896883
2024-06-11,2818.2,2843.9,2800.6,2831.8,942471
2024-06-12,2830.3,2867.9,2816.2,2848.7,1377849
2024-06-13,2843.8,2895.5,2837.5,2875.1,1285973
2024-06-14,2879.3,2887.3,2862.5,2873.5,1620469
2024-06-17,2856.2,2897.4,2849.7,2882.7,1307831
2024-06-18,2900.0,2907.0,2866.3,2883.0,1636448
2024-06-19,2879.9,2887.0,2866.2,2880.0,897627
2024-06-20,2882.6,2926.2,2877.8,2902.9,1206028
2024-06-21,2902.1,2914.5,2868.1,2887.7,1015014
2024-06-24,2894.3,2898.4,2861.0,2874.3,1241395
2024-06-25,2878.5,2882.8,2852.5,2853.3,1676624
2024-06-26,2859.0,2878.4,2831.1,2844.6,1634070
2024-06-27,2844.1,2862.0,2817.6,2830.0,884540
2024-06-28,2828.1,2832.7,2809.0,2817.4,903609
2024-07-01,2819.4,2844.6,2805.3,2840.4,913447
2024-07-02,2838.3,2857.2,2828.1,2841.0,1604174
2024-07-03,2844.2,2856.7,2811.4,2811.5,1281161
2024-07-04,2810.9,2858.1,2808.2,2841.9,1337537
2024-07-05,2851.4,2857.3,2813.7,2826.3,1625018
2024-07-08,2827.2,2854.9,2820.3,2848.7,884523
2024-07-09,2841.9,2845.1,2838.9,2844.7,1648449
2024-07-10,2847.5,2849.1,2834.5,2842.2,1551548
2024-07-11,2847.2,2860.0,2840.5,2850.5,919404
2024-07-12,2859.8,2877.2,2828.8,2837.6,756750
2024-07-15,2846.8,2853.5,2814.9,2816.3,1190391
2024-07-16,2823.9,2826.1,2787.0,2798.0,959057
2024-07-17,2803.3,2817.0,2796.2,2802.1,871481
2024-07-18,2795.9,2834.5,2791.8,2823.3,1299518
2024-07-19,2825.3,2861.8,2822.1,2844.7,723906
2024-07-22,2830.0,2834.3,2807.6,2813.7,1233164
2024-07-23,2818.5,2838.4,2804.3,2826.1,728735
2024-07-24,2832.7,2841.0,2794.7,2811.0,1577350
2024-07-25,2808.9,2816.0,2788.5,2798.3,900813
2024-07-26,2802.2,2808.6,2788.9,2799.1,1388797
2024-07-29,2782.6,2824.1,2773.1,2820.3,1559234
2024-07-30,2813.6,2827.8,2808.1,2824.0,875278
2024-07-31,2826.1,2843.4,2813.9,2842.3,1650725
2024-08-01,2849.4,2866.5,2839.0,2857.3,1226105
2024-08-02,2855.9,2875.2,2850.9,2860.3,1494381
2024-08-05,2857.5,2872.4,2854.9,2866.5,1204590
2024-08-06,2860.8,2916.3,2853.2,2903.9,1430237
2024-08-07,2920.0,2935.8,2877.7,2883.7,1585373
2024-08-08,2874.1,2897.8,2866.5,2894.1,948938
2024-08-09,2899.7,2934.5,2897.5,2933.8,1023455
2024-08-12,2938.4,2954.9,2932.7,2951.7,1177681
2024-08-13,2955.1,2958.6,2931.7,2940.1,1239585
2024-08-14,2927.7,2977.0,2925.6,2974.9,1632451
2024-08-15,2974.4,2979.9,2959.4,2965.1,1018063
2024-08-16,2966.8,2991.2,2966.1,2971.4,828787
2024-08-19,2972.9,2977.0,2942.1,2942.2,1046061
2024-08-20,2952.9,2963.1,2910.4,2916.2,1325439
2024-08-21,2919.4,2949.9,2904.8,2944.3,1066441
2024-08-22,2945.2,2951.7,2942.2,2946.3,1155139
2024-08-23,2941.5,2966.0,2938.9,2951.2,1324305
2024-08-26,2953.2,3001.2,2948.6,2993.4,949743
2024-08-27,2977.9,2986.1,2968.7,2980.4,1254830
2024-08-28,2986.9,3003.3,2980.1,2991.4,1510111
2024-08-29,3005.8,3007.4,2983.9,2991.4,1228795
2024-08-30,2982.9,2990.8,2978.1,2984.4,1251757
2024-09-02,2994.5,3015.5,2946.2,2967.5,1277285
2024-09-03,2974.8,2986.9,2960.2,2972.8,764099
2024-09-04,2969.0,2969.9,2957.9,2963.3,1373214
2024-09-05,2958.3,2970.1,2950.8,2963.1,1343036
2024-09-06,2964.0,2983.7,2957.1,2965.6,871498
2024-09-09,2962.5,2990.6,2958.4,2988.0,1075962
2024-09-10,2988.7,2999.6,2973.3,2979.7,963855
2024-09-11,2982.4,2986.9,2950.7,2964.0,939179
2024-09-12,2976.7,2986.9,2975.0,2981.7,787102
2024-09-13,2973.8,3008.1,2966.8,2994.7,1041989
2024-09-16,2999.6,3001.9,2951.8,2970.9,1111208
2024-09-17,2972.6,2995.0,2970.4,2989.4,1589202
2024-09-18,2985.5,3025.0,2976.3,3011.3,1236516
2024-09-19,3026.2,3048.8,3020.5,3038.4,1089469
2024-09-20,3042.9,3070.5,3034.3,3063.8,997213
2024-09-23,3055.2,3059.6,3033.9,3041.7,1336601
2024-09-24,3045.2,3085.4,3026.2,3077.0,1156668
2024-09-25,3078.2,3088.1,3072.6,3081.6,1447274
2024-09-26,3071.5,3097.3,3056.3,3091.5,1423201
2024-09-27,3093.8,3101.5,3087.6,3089.1,901104
2024-09-30,3091.0,3098.2,3080.9,3086.3,1582494
2024-10-01,3085.2,3105.2,3073.2,3088.8,1224386
2024-10-02,3083.2,3113.7,3082.2,3107.4,1018141
2024-10-03,3096.5,3139.9,3089.5,3132.2,827084
2024-10-04,3139.2,3144.7,3134.1,3137.4,1351306
2024-10-07,3153.2,3165.2,3140.8,3142.2,1455172
2024-10-08,3147.0,3153.8,3130.3,3136.9,945185
2024-10-09,3129.8,3140.5,3121.1,3138.0,787063
2024-10-10,3145.1,3151.5,3130.5,3134.5,923180
2024-10-11,3139.3,3170.8,3132.8,3145.3,938472
2024-10-14,3148.0,3173.7,3145.2,3168.9,1121406
2024-10-15,3168.5,3175.3,3151.5,3171.9,1474984
2024-10-16,3172.6,3178.7,3152.8,3153.5,1213343
2024-10-17,3160.2,3166.6,3155.6,3157.5,773041
2024-10-18,3156.1,3168.7,3142.3,3146.9,943680
2024-10-21,3154.2,3175.2,3138.6,3167.4,1207387
2024-10-22,3166.6,3173.7,3147.4,3166.6,1082109
2024-10-23,3171.4,3187.8,3166.9,3185.2,827347
2024-10-24,3185.4,3192.1,3143.8,3149.3,1457233
2024-10-25,3152.8,3183.3,3140.0,3165.2,1546631
2024-10-28,3170.5,3174.3,3156.9,3161.2,981735
2024-10-29,3140.3,3170.1,3135.9,3169.6,1429870
2024-10-30,3166.7,3221.7,3156.9,3205.5,1450111
2024-10-31,3196.5,3227.6,3196.4,3207.5,945661
2024-11-01,3208.9,3223.9,3187.8,3202.8,1186800
2024-11-04,3200.8,3210.0,3167.2,3172.7,1184059
2024-11-05,3173.2,3192.1,3138.8,3146.7,1243695
2024-11-06,3138.1,3155.2,3136.8,3140.0,1290291
2024-11-07,3144.8,3145.8,3116.4,3127.3,1587636
2024-11-08,3108.8,3127.5,3094.8,3123.6,1072164
2024-11-11,3124.8,3154.0,3106.8,3153.8,1448749
2024-11-12,3156.4,3186.8,3145.3,3184.6,1553784
2024-11-13,3189.5,3196.4,3167.5,3169.8,921783
2024-11-14,3178.8,3183.5,3176.2,3177.7,802750
2024-11-15,3157.5,3175.3,3143.9,3175.3,845301
2024-11-18,3171.4,3192.4,3165.0,3180.3,1547889
2024-11-19,3194.4,3209.2,3143.1,3169.0,1429111
2024-11-20,3152.5,3211.2,3145.7,3208.1,1215320
2024-11-21,3204.7,3206.6,3166.5,3181.4,992777
2024-11-22,3189.0,3197.5,3175.3,3192.7,1060420
2024-11-25,3199.8,3207.2,3192.8,3198.3,1018557
2024-11-26,3204.6,3212.1,3189.1,3203.4,1321522
2024-11-27,3198.2,3239.7,3189.6,3231.6,1223240
2024-11-28,3222.0,3245.0,3214.8,3233.9,1348888
2024-11-29,3225.7,3242.2,3222.7,3241.5,1202959
2024-12-02,3237.7,3260.0,3235.5,3244.4,1257540
2024-12-03,3247.8,3258.2,3246.4,3248.3,1580919
2024-12-04,3259.4,3266.5,3187.4,3201.1,1142292
2024-12-05,3195.4,3198.8,3164.2,3170.0,1582743
2024-12-06,3164.5,3168.8,3157.1,3160.2,1264556
2024-12-09,3151.5,3174.1,3133.9,3168.1,1037714
2024-12-10,3152.6,3154.1,3130.9,3138.0,1356070
2024-12-11,3127.7,3135.1,3097.1,3120.8,1657160
2024-12-12,3129.1,3160.7,3119.7,3129.0,822319
2024-12-13,3133.6,3139.9,3105.6,3108.5,1202294
2024-12-16,3117.1,3119.1,3105.7,3114.9,1148728
2024-12-17,3108.1,3115.6,3079.8,3102.2,1648278
2024-12-18,3109.5,3128.6,3097.8,3115.8,1100240
2024-12-19,3108.9,3132.1,3106.2,3131.2,1308523
2024-12-20,3138.6,3142.5,3100.7,3103.6,1380156
2024-12-23,3110.7,3137.5,3078.9,3097.2,1318863
2024-12-24,3084.9,3125.3,3075.5,3117.7,998474
2024-12-25,3116.2,3125.7,3072.5,3081.0,1590526
2024-12-26,3078.9,3097.4,3064.2,3084.2,761888
2024-12-27,3091.6,3105.3,3067.2,3067.8,806531
2024-12-30,3082.6,3090.0,3057.6,3067.9,1286755
2024-12-31,3075.3,3097.6,3066.0,3066.8,1528733
2025-01-01,3074.6,3079.5,3051.0,3079.2,1229504
2025-01-02,3071.3,3082.9,3043.6,3063.9,1666082
2025-01-03,3063.7,3078.4,3053.0,3076.1,988554
2025-01-06,3085.7,3122.5,3077.2,3111.8,1197725
2025-01-07,3128.2,3128.5,3119.6,3126.4,1270997
2025-01-08,3126.3,3151.4,3118.6,3143.9,1076846
2025-01-09,3151.0,3166.9,3133.9,3166.4,1169240
2025-01-10,3155.9,3190.7,3150.7,3186.6,1482798
2025-01-13,3180.3,3197.1,3180.2,3191.9,1461363
2025-01-14,3191.3,3202.2,3179.7,3201.7,785518
2025-01-15,3190.0,3193.9,3174.6,3180.7,1594056
2025-01-16,3176.3,3202.0,3155.3,3186.0,1563980
2025-01-17,3171.9,3190.6,3171.6,3189.1,1371627
2025-01-20,3189.1,3205.1,3163.4,3181.1,1588029
2025-01-21,3181.6,3190.6,3172.6,3187.5,1555044
2025-01-22,3190.3,3209.4,3155.3,3161.0,911497
2025-01-23,3164.8,3168.6,3136.6,3144.1,1149773
2025-01-24,3145.5,3172.6,3129.3,3157.4,1019341
2025-01-27,3155.8,3212.3,3136.5,3200.7,1667372
2025-01-28,3203.8,3210.0,3171.1,3183.0,972436
2025-01-29,3177.6,3186.2,3176.0,3184.4,1030763
2025-01-30,3180.5,3195.1,3169.8,3190.8,1005651
2025-01-31,3190.9,3206.3,3171.5,3200.1,1465352
2025-02-03,3189.0,3222.1,3188.9,3213.2,1399432
2025-02-04,3219.3,3236.7,3163.1,3169.5,1464758
2025-02-05,3166.6,3211.7,3152.0,3203.9,1484780
2025-02-06,3201.8,3222.5,3183.5,3220.3,871900
2025-02-07,3227.0,3249.8,3221.0,3241.3,1313591
2025-02-10,3249.5,3281.1,3244.7,3259.5,1411416
2025-02-11,3264.2,3294.4,3254.0,3284.3,1371296
2025-02-12,3283.3,3293.7,3281.8,3286.5,1206434
2025-02-13,3286.9,3287.7,3256.8,3266.6,1177397
2025-02-14,3271.8,3276.5,3264.8,3269.9,1487846
2025-02-17,3272.6,3273.2,3263.7,3266.0,1003456
2025-02-18,3264.9,3271.6,3250.5,3267.0,1656999
2025-02-19,3280.6,3294.4,3254.1,3255.8,793314
2025-02-20,3267.9,3284.5,3239.3,3239.3,1219855
2025-02-21,3231.9,3246.4,3229.6,3241.1,1119885
2025-02-24,3250.4,3252.8,3224.1,3235.4,1151470
2025-02-25,3234.5,3243.8,3228.1,3242.4,1406457
2025-02-26,3241.0,3250.8,3217.5,3245.8,1164439
2025-02-27,3238.0,3245.5,3216.6,3220.2,1399671
2025-02-28,3223.7,3253.2,3215.1,3239.3,1232285
2025-03-03,3242.2,3256.9,3219.1,3222.0,1623421
2025-03-04,3223.4,3244.0,3208.1,3228.7,1132567
2025-03-05,3234.3,3260.4,3227.2,3255.7,1501237
2025-03-06,3252.0,3253.1,3214.6,3225.5,1356264
2025-03-07,3212.4,3229.8,3203.6,3210.0,729423
2025-03-10,3212.5,3214.3,3175.2,3185.0,777900
2025-03-11,3182.6,3190.8,3176.1,3177.0,1563476
2025-03-12,3178.8,3215.7,3167.5,3203.7,859699
2025-03-13,3199.5,3216.5,3154.0,3172.3,1502583
2025-03-14,3174.9,3179.6,3155.7,3167.9,1505201
2025-03-17,3172.0,3183.9,3127.3,3142.3,1550729
2025-03-18,3130.2,3160.4,3124.1,3157.1,1036273
2025-03-19,3163.3,3172.6,3151.5,3156.9,1352157
2025-03-20,3141.8,3222.0,3141.4,3206.2,1276169
2025-03-21,3211.4,3217.7,3174.7,3180.6,1330323
2025-03-24,3187.4,3207.6,3170.6,3194.6,1594038
2025-03-25,3187.8,3217.6,3171.7,3213.5,1239563
2025-03-26,3218.1,3241.4,3213.9,3226.4,830504
2025-03-27,3229.7,3237.7,3214.8,3222.9,1000185
2025-03-28,3224.0,3260.0,3218.4,3248.3,1103941
2025-03-31,3252.4,3256.0,3233.1,3239.9,1132047
2025-04-01,3236.1,3268.9,3226.8,3258.8,1330934
2025-04-02,3259.7,3271.5,3232.1,3242.4,902768
2025-04-03,3249.6,3260.1,3233.9,3238.5,974922
2025-04-04,3261.8,3263.3,3197.8,3220.9,1579222
2025-04-07,3228.3,3241.0,3215.1,3238.8,1228463
2025-04-08,3230.7,3232.4,3219.8,3223.3,981649
2025-04-09,3224.7,3247.7,3223.4,3242.4,1350508
2025-04-10,3254.0,3275.2,3243.1,3255.7,1255521
2025-04-11,3249.8,3296.4,3236.6,3272.8,1377590
2025-04-14,3279.8,3282.0,3223.3,3240.0,746390
2025-04-15,3237.6,3260.6,3236.5,3250.0,906175
2025-04-16,3259.0,3276.7,3253.8,3254.2,1550942
2025-04-17,3239.4,3249.7,3236.6,3243.8,1401893
2025-04-18,3243.6,3267.3,3236.0,3258.5,1663855
2025-04-21,3260.3,3290.4,3251.6,3283.3,1433565
2025-04-22,3283.3,3315.0,3280.6,3302.1,733165
2025-04-23,3294.2,3316.4,3273.0,3283.7,1630504
2025-04-24,3290.6,3294.2,3274.8,3285.1,1080667
2025-04-25,3286.4,3308.4,3277.8,3300.7,1392746
2025-04-28,3306.8,3319.9,3300.8,3309.3,1284328
2025-04-29,3302.6,3320.4,3285.1,3289.2,1488661
2025-04-30,3289.0,3304.9,3283.3,3292.6,1673142
2025-05-01,3283.8,3302.4,3282.3,3297.3,1465231
2025-05-02,3297.4,3311.7,3282.0,3306.6,1369093
2025-05-05,3314.8,3355.2,3313.0,3355.1,1267079
2025-05-06,3360.3,3386.4,3328.8,3351.4,750221
2025-05-07,3333.8,3392.3,3320.5,3370.2,733812
2025-05-08,3371.7,3375.0,3364.6,3371.3,1259201
2025-05-09,3379.6,3379.8,3320.9,3325.6,787574
2025-05-12,3340.0,3347.4,3300.4,3322.0,1551335
2025-05-13,3311.9,3334.1,3293.2,3321.9,1504911
2025-05-14,3315.2,3357.2,3306.5,3342.8,1392662
2025-05-15,3338.6,3398.6,3322.4,3377.3,1034617
2025-05-16,3372.6,3416.0,3367.3,3403.9,1196616
2025-05-19,3410.6,3411.1,3365.9,3378.9,1343883
2025-05-20,3376.5,3425.4,3372.5,3414.2,1353780
2025-05-21,3413.5,3428.3,3406.9,3420.7,1464404
2025-05-22,3420.2,3433.1,3412.6,3423.0,853154
2025-05-23,3424.9,3432.6,3419.8,3432.5,1396828
2025-05-26,3439.2,3457.2,3428.0,3449.8,999754
2025-05-27,3452.5,3467.1,3423.1,3430.9,1023540
2025-05-28,3416.3,3433.7,3412.7,3417.0,1002407
2025-05-29,3417.0,3479.2,3414.7,3441.8,1400659
2025-05-30,3447.0,3457.2,3436.1,3449.7,1633731
2025-06-02,3464.5,3473.8,3459.7,3462.7,1155519
2025-06-03,3466.6,3502.8,3460.3,3493.6,1650819
2025-06-04,3501.2,3504.1,3483.8,3492.0,755527
2025-06-05,3492.0,3496.1,3464.2,3470.8,828647
2025-06-06,3475.2,3493.7,3453.9,3478.3,1294124
2025-06-09,3488.8,3500.1,3481.7,3485.0,1420167
2025-06-10,3485.4,3533.8,3473.3,3523.7,1579889
2025-06-11,3515.3,3527.7,3495.7,3496.5,980750
2025-06-12,3491.1,3509.4,3462.2,3466.2,752124
2025-06-13,3455.9,3471.6,3439.9,3448.9,1345446
2025-06-16,3437.6,3445.8,3420.1,3439.3,1533479
2025-06-17,3455.3,3456.6,3407.2,3410.7,769405
2025-06-18,3405.8,3424.1,3357.6,3375.3,1199345
2025-06-19,3371.1,3385.6,3370.5,3372.0,950357
2025-06-20,3370.3,3384.2,3351.5,3370.6,839115
2025-06-23,3377.1,3382.8,3357.5,3373.4,1502077
2025-06-24,3376.7,3395.4,3334.1,3346.3,1084553
2025-06-25,3343.1,3361.8,3338.6,3359.5,1026862
2025-06-26,3365.8,3396.0,3355.1,3383.2,880073
2025-06-27,3374.8,3377.7,3368.6,3375.1,1447108
2025-06-30,3382.0,3406.5,3369.7,3384.6,1413678
2025-07-01,3372.7,3384.5,3342.6,3362.2,1442398
2025-07-02,3369.1,3381.4,3326.4,3336.0,744509
2025-07-03,3346.0,3360.3,3343.2,3355.6,1559424
2025-07-04,3342.5,3404.2,3332.6,3401.7,1301364
2025-07-07,3401.4,3410.5,3382.2,3396.3,1126875
2025-07-08,3387.9,3394.4,3355.3,3358.4,1658580
2025-07-09,3363.5,3384.8,3360.4,3375.8,1088825
2025-07-10,3388.5,3400.5,3369.2,3397.5,1160783
2025-07-11,3397.4,3399.0,3390.8,3392.2,1551953
2025-07-14,3393.1,3431.0,3387.4,3415.1,974816
2025-07-15,3415.0,3440.8,3395.3,3437.0,1351610
2025-07-16,3424.2,3432.0,3393.2,3400.2,1580346
2025-07-17,3398.5,3433.3,3396.6,3408.6,1106160
2025-07-18,3416.7,3417.8,3398.0,3399.6,1351083
2025-07-21,3379.9,3395.1,3372.2,3389.3,1343893
2025-07-22,3385.0,3394.2,3368.8,3391.0,1287014
2025-07-23,3381.9,3386.0,3371.8,3377.3,722504
2025-07-24,3382.5,3387.0,3371.4,3374.5,844985
2025-07-25,3372.9,3377.0,3341.7,3342.1,1611058
2025-07-28,3335.7,3335.9,3277.9,3303.7,1507391
2025-07-29,3287.8,3321.1,3259.6,3306.2,1600769
2025-07-30,3314.0,3337.5,3308.0,3320.6,1313992
2025-07-31,3322.2,3323.6,3315.7,3316.4,879471
2025-08-01,3318.6,3329.2,3286.7,3298.5,1452819
2025-08-04,3292.6,3305.5,3266.5,3269.5,1622429
2025-08-05,3254.7,3278.0,3253.4,3271.2,1191639
2025-08-06,3266.6,3294.7,3265.9,3287.1,789529
2025-08-07,3280.2,3321.7,3255.5,3317.2,1254213
2025-08-08,3305.6,3352.0,3302.0,3338.9,916022
2025-08-11,3344.6,3373.2,3300.1,3306.1,914880
2025-08-12,3305.9,3322.0,3288.8,3292.4,893374
2025-08-13,3300.7,3311.1,3261.0,3264.3,850513
2025-08-14,3265.9,3312.8,3264.9,3302.7,1447951
