date,open,high,low,close,volume
2024-06-10,1194.2,1198.9,1158.8,1169.1,336446
2024-06-11,1156.1,1216.6,1137.5,1208.4,328108
2024-06-12,1207.9,1223.4,1142.7,1145.3,406454
2024-06-13,1139.5,1145.3,1117.5,1132.3,192623
2024-06-14,1123.1,1146.4,1091.8,1103.2,402716
2024-06-17,1098.7,1102.0,1068.7,1071.7,415205
2024-06-18,1077.5,1094.6,1055.4,1068.3,209563
2024-06-19,1074.0,1074.2,1059.7,1061.1,305924
2024-06-20,1069.1,1071.6,1048.2,1053.8,187899
2024-06-21,1043.8,1084.1,1041.4,1078.0,215747
2024-06-24,1083.1,1101.3,1079.4,1091.5,228694
2024-06-25,1103.4,1117.9,1098.5,1102.4,265934
2024-06-26,1098.7,1100.5,1060.1,1064.7,295481
2024-06-27,1074.9,1095.0,1021.4,1037.6,183558
2024-06-28,1035.2,1045.6,992.3,1015.7,348504
2024-07-01,1023.8,1030.3,1021.7,1027.8,200991
2024-07-02,1019.9,1032.3,998.0,1000.9,301666
2024-07-03,1017.3,1030.9,994.7,998.0,184927
2024-07-04,1006.7,1009.3,964.2,969.1,224463
2024-07-05,958.6,966.1,942.9,962.4,362558
2024-07-08,959.4,1017.7,950.9,997.7,402098
2024-07-09,988.0,1032.7,980.6,1020.1,384063
2024-07-10,1010.9,1011.7,991.7,996.9,244885
2024-07-11,991.7,994.1,967.0,974.2,408023
2024-07-12,981.9,1016.3,966.7,1014.1,418938
2024-07-15,1013.2,1024.9,1008.2,1012.9,399986
2024-07-16,1008.8,1019.4,1008.2,1017.0,367352
2024-07-17,1011.3,1029.4,1003.8,1020.5,371841
2024-07-18,1004.2,1038.0,1000.1,1017.9,380544
2024-07-19,1018.0,1031.1,1005.1,1020.0,258436
2024-07-22,1025.3,1040.3,1013.1,1032.6,287964
2024-07-23,1035.8,1037.7,1028.6,1034.9,204056
2024-07-24,1037.1,1041.9,1010.6,1025.3,290421
2024-07-25,1020.7,1025.6,1014.7,1015.4,260922
2024-07-26,1020.2,1028.2,983.8,1005.3,182071
2024-07-29,1007.8,1011.6,967.7,986.3,233869
2024-07-30,987.5,1008.3,986.1,997.3,208096
2024-07-31,995.2,1036.0,992.4,1025.4,374392
2024-08-01,1026.9,1043.9,1012.7,1039.8,369457
2024-08-02,1050.9,1066.5,999.6,1007.5,225258
2024-08-05,1023.4,1043.7,1010.8,1020.3,248151
2024-08-06,1002.7,1020.8,996.4,1014.6,340382
2024-08-07,1010.2,1061.1,1006.0,1049.2,203662
2024-08-08,1044.3,1051.0,1041.1,1050.4,219352
2024-08-09,1056.8,1062.8,1020.8,1032.4,361937
2024-08-12,1034.9,1068.1,1031.2,1041.3,400246
2024-08-13,1039.8,1067.2,1005.1,1032.8,395832
2024-08-14,1031.2,1049.9,1001.5,1012.7,418630
2024-08-15,1013.1,1018.7,974.7,988.4,310480
2024-08-16,997.0,1004.6,979.3,983.7,240919
2024-08-19,998.4,1005.8,949.8,970.4,402931
2024-08-20,960.6,999.6,948.7,995.1,377570
2024-08-21,1005.9,1025.3,975.5,995.7,264150
2024-08-22,997.0,1005.3,983.3,999.1,247308
2024-08-23,988.8,1028.3,973.4,1011.9,258817
2024-08-26,1005.8,1007.2,994.9,1000.6,369266
2024-08-27,999.4,1005.4,995.2,1004.5,280224
2024-08-28,1020.3,1033.7,980.9,986.7,265432
2024-08-29,992.6,994.4,985.3,986.0,312028
2024-08-30,974.3,985.8,939.5,983.7,198911
2024-09-02,986.7,999.6,940.7,967.4,351638
2024-09-03,970.9,979.5,960.5,975.4,252360
2024-09-04,982.0,990.6,964.9,970.2,322065
2024-09-05,973.9,1001.2,968.8,992.1,388212
2024-09-06,987.1,1024.3,983.3,1018.1,330147
2024-09-09,1022.8,1030.8,1013.2,1014.9,333424
2024-09-10,1013.6,1020.2,1007.8,1014.9,260873
2024-09-11,994.1,1013.8,975.7,1005.9,263233
2024-09-12,1004.0,1019.8,999.7,1017.2,314376
2024-09-13,999.3,1016.6,984.2,1015.1,276015
2024-09-16,1006.5,1021.2,982.6,994.8,358875
2024-09-17,990.5,1034.5,976.8,1020.1,271227
2024-09-18,1012.8,1038.2,990.8,1026.2,395235
2024-09-19,1019.5,1063.1,1019.4,1052.7,333388
2024-09-20,1047.7,1073.2,1027.2,1067.9,398267
2024-09-23,1072.4,1084.9,1060.4,1070.9,379691
2024-09-24,1086.1,1094.6,1068.7,1071.3,311227
2024-09-25,1061.3,1076.9,1050.2,1072.3,270597
2024-09-26,1072.2,1075.9,1059.4,1070.8,337536
2024-09-27,1076.8,1095.5,1074.7,1075.8,278606
2024-09-30,1062.5,1089.4,1047.6,1082.6,327479
2024-10-01,1087.8,1109.1,1081.6,1101.2,267579
2024-10-02,1097.1,1121.9,1089.3,1112.7,220627
2024-10-03,1115.6,1164.3,1114.7,1161.2,307498
2024-10-04,1170.6,1209.8,1157.5,1173.2,275427
2024-10-07,1162.5,1191.0,1155.6,1178.5,374465
2024-10-08,1163.6,1198.7,1162.6,1184.8,348605
2024-10-09,1165.2,1227.2,1144.6,1207.0,261661
